"Forecast" "LowerLimit" "UpperLimit"
"1" 0.0292568957335161 0.0249018444026581 0.0343735963537891
"2" 0.0318141007117506 0.0277560711106953 0.036465427691868
"3" 0.0352623644362201 0.0307664877220216 0.0404152192108296
"4" 0.0351506114939704 0.0304167672008131 0.0406211968629926
"5" 0.0308036377966986 0.0262482541321908 0.0361496081503765
"6" 0.0299754459253469 0.0255593706489546 0.0351545181125244
"7" 0.0311088650423158 0.0263563246085064 0.0367183777934149
"8" 0.0320132757012259 0.0279517751870134 0.0366649278718747
"9" 0.0336655143798767 0.0291620891705221 0.0388643917736637
"10" 0.0352125303727161 0.0307615003978505 0.0403076013592659
"11" 0.0334876214864139 0.0285820756621419 0.0392351068576414
"12" 0.0334519965729312 0.0285533713752471 0.0391910314200407
